level,port,prefix_type,prefix_value,bucket,support,total,purity
port,0,,,Easy,133,133,1.0
port,21,,,Hard,458,458,1.0
port,22,,,Middle,1054,1054,1.0
port,53,,,Easy,114708,114708,1.0
port,80,,,Middle,26188,26209,0.9991987485215003
port,88,,,Easy,900,900,1.0
port,123,,,Easy,148,148,1.0
port,135,,,Middle,70,70,1.0
port,137,,,Easy,388,388,1.0
port,138,,,Middle,9,9,1.0
port,139,,,Easy,107,107,1.0
port,389,,,Easy,714,714,1.0
port,443,,,Middle,92512,93356,0.9909593384463773
port,445,,,Middle,181,181,1.0
port,465,,,Middle,367,367,1.0
port,547,,,Easy,4,4,1.0
port,1900,,,Middle,111,111,1.0
port,3268,,,Easy,212,212,1.0
port,3478,,,Easy,35,35,1.0
port,5353,,,Easy,15,15,1.0
port,5355,,,Easy,115,115,1.0
port,8080,,,Middle,71,71,1.0
port,8610,,,Easy,7,7,1.0
port,8612,,,Easy,12,12,1.0
port,9100,,,Middle,1,1,1.0
port,9101,,,Middle,1,1,1.0
port,18560,,,Middle,3,3,1.0
port,19302,,,Easy,1,1,1.0
port,20829,,,Easy,1,1,1.0
port,26123,,,Easy,1,1,1.0
port,36581,,,Easy,1,1,1.0
port,49175,,,Easy,1,1,1.0
port,49184,,,Easy,1,1,1.0
port,49187,,,Easy,1,1,1.0
port,49424,,,Easy,1,1,1.0
port,49457,,,Easy,1,1,1.0
port,49458,,,Easy,1,1,1.0
port,49478,,,Middle,1,1,1.0
port,49480,,,Middle,1,1,1.0
port,49488,,,Middle,1,1,1.0
port,49666,,,Middle,70,70,1.0
port,49671,,,Middle,25,25,1.0
port,49852,,,Easy,1,1,1.0
port,49912,,,Easy,1,1,1.0
port,51735,,,Easy,1,1,1.0
port,51927,,,Easy,1,1,1.0
port,52134,,,Hard,1,1,1.0
port,54878,,,Easy,1,1,1.0
port,55494,,,Easy,1,1,1.0
port,55782,,,Easy,1,1,1.0
port,63056,,,Easy,1,1,1.0
