level,port,prefix_type,prefix_value,bucket,support,purity
port,0,,,Easy,133,1.0
port,21,,,Hard,458,1.0
port,22,,,Easy,1054,1.0
port,53,,,Easy,114708,1.0
port,88,,,Easy,900,1.0
port,123,,,Easy,148,1.0
port,135,,,Middle,70,1.0
port,137,,,Easy,388,1.0
port,139,,,Easy,107,1.0
port,389,,,Easy,714,1.0
port,443,,,Middle,92125,0.9868139166202494
port,445,,,Middle,181,1.0
port,465,,,Middle,367,1.0
port,1900,,,Middle,111,1.0
port,3268,,,Easy,212,1.0
port,3478,,,Easy,35,1.0
port,5355,,,Easy,115,1.0
port,8080,,,Middle,71,1.0
port,49666,,,Middle,70,1.0
port,49671,,,Middle,25,1.0
