protocol,W_detecting_us,W_detection_only_us,W_bucket_us,flow_count,log_W,cluster_id,cluster_center_log_W,bucket
BJNP,1.5241578947368422,0.7058947368421054,0.7058947368421054,19,-0.34828915056245824,0,0.5377551446795162,Easy
NTP,1.4453918918918918,0.7903108108108109,0.7903108108108109,148,-0.23532897948882225,0,0.5377551446795162,Easy
ICMP,1.5656904761904762,0.993345238095238,0.993345238095238,84,-0.006677003562976494,0,0.5377551446795162,Easy
STUN,1.5028333333333332,1.0239047619047619,1.0239047619047619,42,0.02362351633961328,0,0.5377551446795162,Easy
ICMPV6,1.8173513513513513,1.1587297297297299,1.1587297297297299,37,0.1473243445235431,0,0.5377551446795162,Easy
QUIC.YouTube,4.892705882352941,1.1851176470588236,1.1851176470588236,17,0.16984204987755633,0,0.5377551446795162,Easy
NetBIOS,1.8636754032258065,1.2447479838709679,1.2447479838709679,496,0.21893308683285245,0,0.5377551446795162,Easy
DNS,1.9497494399163142,1.4024864664603582,1.4024864664603582,114715,0.33824670878552454,0,0.5377551446795162,Easy
IGMP,2.1434166666666665,1.54025,1.54025,12,0.431944740912543,0,0.5377551446795162,Easy
QUIC.Google,2.0774013986013986,1.5637468531468532,1.5637468531468532,715,0.447084770420846,0,0.5377551446795162,Easy
LLMNR,2.408465517241379,1.706008620689655,1.706008620689655,116,0.5341565022159552,0,0.5377551446795162,Easy
QUIC.GoogleServices,2.235902912621359,1.7770291262135922,1.7770291262135922,103,0.5749429397042508,0,0.5377551446795162,Easy
Kerberos,2.6940187845303867,1.9711900552486188,1.9711900552486188,905,0.6786374493203007,0,0.5377551446795162,Easy
QUIC,2.691333333333333,2.333666666666667,2.333666666666667,3,0.8474407073269509,0,0.5377551446795162,Easy
MDNS,3.2467333333333337,2.4038,2.4038,15,0.8770508185365514,0,0.5377551446795162,Easy
LDAP,3.3435026910656616,2.480153928955867,2.480153928955867,929,0.90832062637811,0,0.5377551446795162,Easy
DHCPV6,3.05425,2.63525,2.63525,4,0.9689780541531615,0,0.5377551446795162,Easy
SSH,3.753486717267552,2.7824146110056924,2.7824146110056924,1054,1.0233191158281065,0,0.5377551446795162,Easy
HTTP.GoogleMaps,4.1505,2.8064999999999998,2.8064999999999998,2,1.0319381554001168,0,0.5377551446795162,Easy
HTTP.Dailymotion,3.3190000000000004,2.8153333333333332,2.8153333333333332,3,1.0350806678436422,0,0.5377551446795162,Easy
HTTP.OCSP,3.7044890059551077,2.9502796610169493,2.9502796610169493,8732,1.0818999662031883,0,0.5377551446795162,Easy
HTTP.MS_OneDrive,4.2909999999999995,2.951,2.951,1,1.0821440959608024,0,0.5377551446795162,Easy
NetBIOS.SMBv1,4.3399090909090905,3.197,3.197,11,1.1622128700777044,1,1.768139001662358,Middle
HTTP.Huawei,3.9563333333333333,3.2044166666666665,3.2044166666666665,12,1.164530066527007,1,1.768139001662358,Middle
HTTP.Xbox,4.005,3.215,3.215,2,1.1678273576895826,1,1.768139001662358,Middle
HTTP.Canonical,4.0770952380952385,3.360952380952381,3.360952380952381,21,1.212224380523701,1,1.768139001662358,Middle
HTTP.KakaoTalk,4.497,3.392,3.392,1,1.2214197179296566,1,1.768139001662358,Middle
HTTP.VK,4.821,3.65,3.65,1,1.2947271675944,1,1.768139001662358,Middle
HTTP.AWS_S3,4.5334,3.69488,3.69488,25,1.3069480775534474,1,1.768139001662358,Middle
SSDP,4.300225225225225,3.7403513513513515,3.7403513513513515,111,1.3191795512255509,1,1.768139001662358,Middle
HTTP.AppleiTunes,4.279333333333333,3.7616666666666667,3.7616666666666667,6,1.3248621216013894,1,1.768139001662358,Middle
HTTP.YouTube,5.0569999999999995,3.8,3.8,1,1.33500106673234,1,1.768139001662358,Middle
HTTP.Yandex,4.617666666666667,3.9160000000000004,3.9160000000000004,3,1.365070724668264,1,1.768139001662358,Middle
HTTP.Cloudflare,4.7897083333333335,4.022666666666667,4.022666666666667,24,1.391945032628705,1,1.768139001662358,Middle
HTTP.AWS_Cloudfront,4.799677966101695,4.035966101694915,4.035966101694915,59,1.3952457034706882,1,1.768139001662358,Middle
HTTP.Instagram,5.380249999999999,4.0525,4.0525,4,1.3993339746276943,1,1.768139001662358,Middle
HTTP.QQ,4.831666666666666,4.110111111111111,4.110111111111111,9,1.413450062476326,1,1.768139001662358,Middle
HTTP.SOAP,4.908186440677966,4.157118644067796,4.157118644067796,59,1.4248222006541258,1,1.768139001662358,Middle
HTTP.Alibaba,4.7875,4.191999999999999,4.191999999999999,2,1.433177947018741,1,1.768139001662358,Middle
HTTP.Facebook,4.933342105263158,4.208500000000001,4.208500000000001,38,1.437106289669494,1,1.768139001662358,Middle
