protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_total_ms, var_detecting_total_ms, avg_detecting_detection_only_ms, var_detecting_detection_only_ms, avg_detecting_flow_table_ms, var_detecting_flow_table_ms, avg_detecting_other_ms, var_detecting_other_ms, avg_detecting_detection_ratio, var_detecting_detection_ratio, avg_detecting_flow_table_ratio, var_detecting_flow_table_ratio, avg_detecting_other_ratio, var_detecting_other_ratio
DNS                ,                 1,            0,         5, Network       ,          14, 114715,               1.000052,               0.000314,           80.945325,           81.047911,            6.869180,           79.836951,        824.146101,            1393883.724895,               0.002259,               0.000096,                        0.001503,                        0.000001,                    0.000371,                    0.000091,               0.000386,               0.000004,                      0.665247,                      0.075649,                       0.164013,                       0.011225,                  0.170739,                  0.017660
TLS                ,                 1,            0,        91, Web           ,           5,  59826,               4.017735,               0.222582,          511.721158,        46925.724240,           45.024137,        47564.607715,      28739.324775,        94493659566.036591,               0.008419,               0.000010,                        0.007387,                        0.000007,                    0.000387,                    0.000001,               0.000644,               0.000003,                      0.877471,                      0.005485,                       0.046004,                       0.001893,                  0.076525,                  0.002176
HTTP               ,                 1,            0,         7, Web           ,           5,  12999,               4.033464,               0.114658,          859.652358,       166923.736288,           43.635972,        21095.778861,      32059.946765,        34635800315.712677,               0.007085,               0.000019,                        0.006045,                        0.000014,                    0.000407,                    0.000005,               0.000633,               0.000000,                      0.853191,                      0.000000,                       0.057444,                       0.003781,                  0.089365,                  0.006216
NOT_DETECTED       ,                 0,            0,         0, NOT_DETECTED  ,           0,   9828,               0.000000,               0.000000,         1439.783272,     21593740.845784,            7.362536,           31.344453,       1439.783272,           21593740.845784,               0.004029,               0.000016,                        0.002611,                        0.000011,                    0.000466,                    0.000000,               0.000952,               0.000002,                      0.647971,                      0.000000,                       0.115678,                       0.015558,                  0.236351,                  0.022083
TLS                ,                 1,            0,        91, Advertisement ,         101,   9245,               4.002596,               0.003238,          491.534667,        13050.927868,           29.335100,          734.039357,      11151.541698,          820911426.866109,               0.008176,               0.000015,                        0.007080,                        0.000004,                    0.000445,                    0.000008,               0.000651,               0.000003,                      0.865943,                      0.017023,                       0.054444,                       0.001781,                  0.079613,                  0.002254
HTTP.OCSP          ,                 1,            7,        63, Network       ,          14,   8732,               4.024737,               0.052068,          694.962895,          818.895096,           23.898763,          191.160846,       4579.333372,           11117405.338589,               0.004193,               0.000001,                        0.003188,                        0.000001,                    0.000380,                    0.000000,               0.000626,               0.000000,                      0.760172,                      0.012925,                       0.090632,                       0.005445,                  0.149196,                  0.005933
TLS.Google         ,                 1,           91,       126, Advertisement ,         101,   8503,               4.000000,               0.000000,          492.441138,        14057.978630,           48.801952,        13346.828000,      21793.679054,         7583991092.792560,               0.007562,               0.000005,                        0.006545,                        0.000003,                    0.000382,                    0.000000,               0.000635,               0.000002,                      0.865505,                      0.004754,                       0.050521,                       0.002185,                  0.083974,                  0.002633
TLS.Google         ,                 1,           91,       126, Web           ,           5,   3951,               4.000000,               0.000000,          488.224500,        13176.340134,           86.947608,        88128.466756,      66680.019995,       115441213645.593887,               0.007752,               0.000005,                        0.006735,                        0.000005,                    0.000379,                    0.000000,               0.000639,               0.000000,                      0.868703,                      0.001823,                       0.048916,                       0.002074,                  0.082380,                  0.002966
HTTP               ,                 1,            0,         7, Advertisement ,         101,   2565,               4.001170,               0.002728,         1276.288889,       612699.884185,           23.778558,          646.711197,       9382.782066,          351369335.297144,               0.009374,               0.000044,                        0.008246,                        0.000024,                    0.000418,                    0.000005,               0.000710,               0.000016,                      0.879658,                      0.000000,                       0.044643,                       0.003351,                  0.075699,                  0.004772
TLS.Mozilla        ,                 1,           91,       125, Web           ,           5,   1867,               3.998929,               0.001070,          473.281200,         1211.908607,           27.798607,          236.031214,       8616.169791,          105454220.541605,               0.008863,               0.000026,                        0.007850,                        0.000026,                    0.000391,                    0.000000,               0.000621,               0.000000,                      0.885720,                      0.001044,                       0.044163,                       0.001609,                  0.070117,                  0.001927
