protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_instructions, var_detecting_instructions, avg_detecting_cycles, var_detecting_cycles, avg_detecting_ipc, var_detecting_ipc, avg_detecting_llc_misses, var_detecting_llc_misses, avg_detecting_llc_refs, var_detecting_llc_refs, avg_detecting_llc_miss_ratio, var_detecting_llc_miss_ratio, avg_detecting_branch_misses, var_detecting_branch_misses, avg_detecting_branch_miss_per_kinst, var_detecting_branch_miss_per_kinst
DNS                ,                 1,            0,         5, Network       ,          14, 114715,               1.000052,               0.000314,           80.945325,           81.047911,            6.869180,           79.836951,        824.146101,            1393883.724895,               19552.238487,            39218323.757377,         10579.667227,     173014355.642494,          1.848096,          0.481484,                10.397725,              2777.823169,              64.203870,           61420.846507,                     0.161949,                     0.098447,                   72.902123,                13908.932860,                            3.728582,                            4.847798
TLS                ,                 1,            0,        91, Web           ,           5,  59826,               4.017735,               0.222582,          511.721158,        46925.724240,           45.024137,        47564.607715,      28739.324775,        94493659566.036591,              135197.032110,           536763219.900669,         43718.728412,      60329718.636701,          3.092428,          0.111705,                14.336024,               134.634538,              90.041387,           19811.943963,                     0.159216,                     0.060715,                  100.296961,                 4289.484441,                            0.741858,                            0.235832
HTTP               ,                 1,            0,         7, Web           ,           5,  12999,               4.033464,               0.114658,          859.652358,       166923.736288,           43.635972,        21095.778861,      32059.946765,        34635800315.712677,               87201.073698,          1861391370.327979,         38003.144934,     430489974.319636,          2.294575,          0.530549,                23.596969,               949.739328,             198.358028,          107749.541637,                     0.118962,                     0.060334,                  236.331487,                61018.441005,                            2.710190,                            0.569813
NOT_DETECTED       ,                 0,            0,         0, NOT_DETECTED  ,           0,   9828,               0.000000,               0.000000,         1439.783272,     21593740.845784,            7.362536,           31.344453,       1439.783272,           21593740.845784,               46573.046093,          2025900227.958905,         21269.875661,     436264949.993290,          2.189625,          0.347763,                21.530322,               661.436708,             111.572853,           26201.964066,                     0.192971,                     0.064256,                   92.583944,                35015.817231,                            1.987930,                            1.326948
TLS                ,                 1,            0,        91, Advertisement ,         101,   9245,               4.002596,               0.003238,          491.534667,        13050.927868,           29.335100,          734.039357,      11151.541698,          820911426.866109,              130201.381179,           462267794.764166,         42232.504164,      47896371.269777,          3.082966,          0.068867,                14.215792,               112.106489,              87.739751,           12362.293331,                     0.162022,                     0.050947,                   99.153164,                 2513.457774,                            0.761537,                            0.176112
HTTP.OCSP          ,                 1,            7,        63, Network       ,          14,   8732,               4.024737,               0.052068,          694.962895,          818.895096,           23.898763,          191.160846,       4579.333372,           11117405.338589,               49662.280806,              829583.964895,         21970.789052,      17808116.228519,          2.260378,          0.337555,                13.987632,               117.077722,             126.405863,           34926.443383,                     0.110657,                     0.069041,                  107.818255,                 2331.222237,                            2.171029,                            0.928737
TLS.Google         ,                 1,           91,       126, Advertisement ,         101,   8503,               4.000000,               0.000000,          492.441138,        14057.978630,           48.801952,        13346.828000,      21793.679054,         7583991092.792560,              120280.615547,           573561512.390947,         38987.323886,      43419627.347056,          3.085121,          0.006119,                12.381160,                67.253871,              75.698577,            9835.418141,                     0.163559,                     0.061029,                   91.186640,                 2229.347619,                            0.758116,                            0.218857
TLS.Google         ,                 1,           91,       126, Web           ,           5,   3951,               4.000000,               0.000000,          488.224500,        13176.340134,           86.947608,        88128.466756,      66680.019995,       115441213645.593887,              125725.656036,           492217609.009253,         40163.155657,      64374852.452359,          3.130373,          0.124052,                12.960010,                85.876406,              74.205011,            9584.844834,                     0.174651,                     0.066757,                   89.823842,                 3037.027435,                            0.714443,                            0.186945
HTTP               ,                 1,            0,         7, Advertisement ,         101,   2565,               4.001170,               0.002728,         1276.288889,       612699.884185,           23.778558,          646.711197,       9382.782066,          351369335.297144,              117126.264327,          4292937502.087635,         50290.423782,     735170059.643801,          2.328997,          0.235443,                33.979337,              2557.486902,             280.399610,          187011.606004,                     0.121182,                     0.040970,                  355.000390,                83811.977778,                            3.030920,                            0.957732
TLS.Mozilla        ,                 1,           91,       125, Web           ,           5,   1867,               3.998929,               0.001070,          473.281200,         1211.908607,           27.798607,          236.031214,       8616.169791,          105454220.541605,              144640.654526,             6553704.724251,         45602.356722,      20852000.809011,          3.171780,          0.206793,                13.805570,                99.200012,             102.380289,           27293.540436,                     0.134846,                     0.067568,                  111.590252,                 6245.535909,                            0.771500,                            0.306290
