protocol,profile_flows,profile_avg_detecting_total_ms,profile_avg_detecting_detection_only_ms,profile_avg_detecting_flow_table_ms,profile_avg_detecting_other_ms,profile_avg_detecting_detection_ratio,profile_avg_detecting_flow_table_ratio,profile_avg_detecting_other_ratio,profile_avg_detecting_ipc,profile_avg_detecting_llc_misses,profile_avg_detecting_llc_miss_ratio,profile_avg_detecting_branch_miss_per_kinst,protocol_label,family
Apple,110.0,0.0186705,0.010331,0.002532,0.005808000000000001,0.5426165000000001,0.141818,0.315565,1.244178,296.409091,0.2890765,2.442189,Apple,Apple
DNS,304.0,0.004419,0.0030264999999999997,0.0005290000000000001,0.0008635,0.687073,0.12000949999999999,0.1929175,0.6680925,124.111842,0.4974725,4.7763955,DNS,DNS
GRE,4278.0,0.0017590000000000001,0.0007799999999999999,0.0004735,0.0005045,0.439535,0.274947,0.2855185,1.0632905,19.028635,0.451403,2.342224,GRE,GRE
HTTP,9701.0,0.0146195,0.008184,0.0017070000000000002,0.0047285,0.5500325,0.121867,0.3281,1.5202345,160.44273750000002,0.33427799999999996,1.4029755,HTTP,HTTP
ICMP,15861938.0,0.001495,0.0005215,0.0004725,0.0005015,0.341016,0.3242055,0.3347785,1.0330035,16.138274,0.5532695000000001,1.0528475,ICMP,ICMP
IMAP,50.0,0.0189845,0.009533,0.002816,0.0066355,0.4905245,0.1533985,0.356077,1.034067,449.53,0.3878005,2.0023895,IMAP,IMAP
IMAPS,707.0,0.0162775,0.0089225,0.0021675,0.005187,0.5369115,0.138988,0.3241015,1.324255,197.98514849999998,0.212813,1.962984,IMAPS,IMAPS
POPS,53.0,0.014957,0.00863,0.0017764999999999999,0.004550500000000001,0.5665325,0.1238415,0.3096265,1.5187715,113.1415095,0.1953025,1.7252174999999998,POPS,POPS
RDP,286.0,0.017007,0.0089955,0.0023945,0.0056170000000000005,0.5168445,0.1459325,0.337223,1.2437930000000001,331.347902,0.3558435,1.8600805,RDP,RDP
SMBv23,133.0,0.018156,0.0097245,0.0025725,0.005859,0.5219405,0.1485995,0.3294595,1.287826,305.9097745,0.275634,1.8322015,SMBv23,SMBv23
SMTP,367.0,0.015766000000000002,0.008969999999999999,0.0019505,0.0048455,0.558017,0.1291755,0.3128075,1.4341095,186.1185285,0.2484185,1.647338,SMTP,SMTP
SSH,4757.0,0.0177745,0.009551,0.002606,0.0056175,0.523997,0.15326099999999998,0.322742,1.30995,302.162077,0.295168,1.7031855,SSH,SSH
TLS,17674.0,0.016205499999999998,0.008708,0.0020165,0.005480499999999999,0.5268795000000001,0.12970399999999999,0.3434165,1.3942155,210.07214,0.326877,1.642042,TLS,TLS
TeamViewer,139.0,0.026502,0.0120615,0.0043425,0.010098,0.4431855,0.16929,0.387525,0.7340565,995.5143885,0.5932364999999999,2.3753035000000002,TeamViewer,TeamViewer
Telnet,144.0,0.0278495,0.012985,0.004702,0.0101625,0.449127,0.1760855,0.3747875,0.8178240000000001,1035.8993055,0.7016005000000001,1.8370785,Telnet,Telnet
