protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
Apple,110.0,110.0,0.007249,0.013413,1.408557,1.079799,0.28605,0.292103,1.850324182645882,1.3044622193574917,1.0211606362524033,Apple,Apple
DNS,304.0,304.0,0.002502,0.003551,0.728357,0.607828,0.437853,0.557092,1.4192645883293367,1.1982945833360754,1.2723265570865108,DNS,DNS
GRE,4278.0,4278.0,0.000538,0.001022,1.278599,0.847982,0.395427,0.507379,1.899628252788104,1.5078138451052028,1.2831167320390364,GRE,GRE
HTTP,9701.0,9701.0,0.0056,0.010768,1.791736,1.248733,0.324411,0.344145,1.9228571428571428,1.4348431570239595,1.0608302431175267,HTTP,HTTP
ICMP,15861938.0,15861938.0,0.000333,0.00071,1.275132,0.790875,0.506684,0.599855,2.1321321321321323,1.6123053579895685,1.183883840815972,ICMP,ICMP
IMAP,50.0,50.0,0.006543,0.012523,1.16995,0.898184,0.390771,0.38483,1.913953843802537,1.30257274678685,0.9847967223770444,IMAP,IMAP
IMAPS,707.0,707.0,0.006076,0.011769,1.53838,1.11013,0.197308,0.228318,1.9369651086240949,1.385765631052219,1.1571654469154824,IMAPS,IMAPS
POPS,53.0,53.0,0.005829,0.011431,1.798166,1.239377,0.155688,0.234917,1.9610567850403158,1.4508628125259706,1.50889599712245,POPS,POPS
RDP,286.0,286.0,0.006075,0.011916,1.449297,1.038289,0.352548,0.359139,1.9614814814814816,1.3958512514338495,1.0186953265938257,RDP,RDP
SMBv23,133.0,133.0,0.006381,0.013068,1.530603,1.045049,0.212193,0.339075,2.0479548660084625,1.4646231899174107,1.5979556347287611,SMBv23,SMBv23
SMTP,367.0,367.0,0.006107,0.011833,1.68463,1.183589,0.248207,0.24863,1.9376125757327658,1.4233234678591977,1.0017042226850974,SMTP,SMTP
SSH,4757.0,4757.0,0.006367,0.012735,1.504924,1.114976,0.313372,0.276964,2.0001570598397986,1.349736675946388,0.8838185925992111,SSH,SSH
TLS,17674.0,17674.0,0.005954,0.011462,1.61568,1.172751,0.321936,0.331818,1.9250923748740343,1.3776837538403293,1.030695541971075,TLS,TLS
TeamViewer,139.0,139.0,0.008196,0.015927,0.801032,0.667081,0.627087,0.559386,1.9432650073206441,1.2008017017423671,0.8920389036927892,TeamViewer,TeamViewer
Telnet,144.0,144.0,0.008051,0.017919,0.91951,0.716138,0.709203,0.693998,2.22568625015526,1.283984371727237,0.9785604403816678,Telnet,Telnet
