protocol,profile_flows,profile_avg_detecting_total_ms,profile_avg_detecting_detection_only_ms,profile_avg_detecting_flow_table_ms,profile_avg_detecting_other_ms,profile_avg_detecting_detection_ratio,profile_avg_detecting_flow_table_ratio,profile_avg_detecting_other_ratio,profile_avg_detecting_ipc,profile_avg_detecting_llc_misses,profile_avg_detecting_llc_miss_ratio,profile_avg_detecting_branch_miss_per_kinst,protocol_label,family
DCERPC,165.0,0.0083315,0.006526,0.0005484999999999999,0.001257,0.7832365,0.066014,0.15075,1.682307,45.1818185,0.1790475,3.277714,DCERPC,DCERPC
DNS,114715.0,0.0032015000000000004,0.0021409999999999997,0.000503,0.0005585,0.6678885,0.15859,0.17352099999999998,1.5395585,13.253293,0.2811395,3.9962774999999997,DNS,DNS
FTP_CONTROL,441.0,0.0254465,0.0209595,0.000951,0.0035365,0.824147,0.037199499999999996,0.13865349999999999,1.3729434999999999,150.4070295,0.1424495,5.7808755000000005,FTP_CONTROL,FTP_CONTROL
HTTP,15771.0,0.010411127575930506,0.008967943567307082,0.0005438430663876736,0.0008988414494959102,0.8594639776171454,0.053328059476253895,0.08720755078942363,1.941996666761778,33.403810900006334,0.23009381313803817,3.1708550686069366,HTTP,HTTP
HTTP.Google,775.0,0.010178756129032258,0.00876722129032258,0.0005336877419354839,0.0008777290322580645,0.8609289135483871,0.05291602516129032,0.08615544322580646,1.7928701406451615,42.93677426258065,0.26148267870967745,4.013068186451613,HTTP.Google,HTTP
HTTP.Yahoo,88.0,0.009767772727272726,0.008351227272727272,0.0004870909090909091,0.0009294545454545454,0.854772,0.05020286363636363,0.09502563636363637,1.7323820454545453,30.517045363636363,0.24186731818181817,4.205147818181818,HTTP.Yahoo,HTTP
HTTP.Microsoft,159.0,0.009732000000000001,0.0082455,0.0005145,0.000972,0.847618,0.0530295,0.0993525,1.5673215,72.0943395,0.2367615,4.714041,HTTP.Microsoft,HTTP
HTTP.WindowsUpdate,66.0,0.0089795,0.007592,0.0004535,0.0009335,0.846479,0.0508695,0.1026515,1.569939,62.848485,0.1517925,3.9303405,HTTP.WindowsUpdate,HTTP
HTTP.Microsoft365,91.0,0.008646,0.007195999999999999,0.0005465,0.0009035,0.8312545,0.0635235,0.105222,1.5221195,56.835164500000005,0.2460745,4.3581095,HTTP.Microsoft365,HTTP
HTTP.GoogleServices,210.0,0.008246,0.0067735,0.000527,0.0009454999999999999,0.8203825,0.06458900000000001,0.11502799999999999,1.6469295,45.459524,0.2032745,4.007245,HTTP.GoogleServices,HTTP
HTTP.SOAP,59.0,0.008072779661016948,0.006743457627118643,0.0005976440677966102,0.0007320677966101695,0.8320904830508475,0.07512322881355932,0.09278619491525425,1.6644748135593221,43.96610183050848,0.2560241779661017,3.2674611694915257,HTTP.SOAP,HTTP
HTTP.AWS_Cloudfront,59.0,0.007622,0.0062629999999999995,0.000386,0.0009735,0.8201585,0.051560999999999996,0.12828099999999998,1.7587085,22.016949,0.2643135,3.150132,HTTP.AWS_Cloudfront,HTTP
