protocol,flows_p,flows_e,avg_detecting_detection_only_ms_p,avg_detecting_detection_only_ms_e,avg_detecting_ipc_p,avg_detecting_ipc_e,avg_detecting_llc_miss_ratio_p,avg_detecting_llc_miss_ratio_e,ratio_detecting_time_e_over_p,ratio_ipc_p_over_e,ratio_llc_miss_ratio_e_over_p,protocol_label,family
DCERPC,165.0,165.0,0.004709,0.008343,1.977044,1.38757,0.098733,0.259362,1.7717137396474836,1.4248246935289752,2.6269028592263983,DCERPC,DCERPC
DNS,114715.0,114715.0,0.001503,0.002779,1.848096,1.231021,0.161949,0.40033,1.84896872920825,1.5012708962722814,2.4719510463170504,DNS,DNS
FTP_CONTROL,441.0,441.0,0.01596,0.025959,1.580331,1.165556,0.042395,0.242504,1.6265037593984963,1.3558602074889579,5.720108503361245,FTP_CONTROL,FTP_CONTROL
HTTP,15771.0,15771.0,0.006390285397248114,0.011545601737366053,2.2950349944201385,1.5889583391034177,0.11869092695453681,0.34149669932153953,1.806742738334974,1.4443644858021452,2.877192958922175,HTTP,HTTP
HTTP.Google,775.0,775.0,0.00633473806451613,0.011199704516129031,2.0973362051612905,1.4884040761290325,0.1365659548387097,0.3863994025806452,1.7679822594187256,1.4091174828114812,2.8293977297416446,HTTP.Google,HTTP
HTTP.Yahoo,88.0,88.0,0.005938454545454545,0.010764,2.0410356363636364,1.4237284545454543,0.12412863636363636,0.359606,1.8125928080461704,1.433584915611781,2.897043023549617,HTTP.Yahoo,HTTP
HTTP.Microsoft,159.0,159.0,0.00586,0.010631,1.871947,1.262696,0.107094,0.366429,1.8141638225255974,1.4825001425521265,3.421564233290381,HTTP.Microsoft,HTTP
HTTP.WindowsUpdate,66.0,66.0,0.00543,0.009754,1.867559,1.272319,0.08453,0.219055,1.796316758747698,1.4678386473832428,2.5914468236129187,HTTP.WindowsUpdate,HTTP
HTTP.Microsoft365,91.0,91.0,0.004991,0.009401,1.798786,1.245453,0.13539,0.356759,1.8835904628330995,1.4442825221023998,2.635046901543688,HTTP.Microsoft365,HTTP
HTTP.GoogleServices,210.0,210.0,0.004767,0.00878,1.966454,1.327405,0.099541,0.307008,1.8418292427102998,1.481427296115353,3.0842366462060857,HTTP.GoogleServices,HTTP
HTTP.SOAP,59.0,59.0,0.004448949152542373,0.009037966101694914,2.0460603220338984,1.2828893050847459,0.1709073220338983,0.34114103389830513,2.0314833440004874,1.594884542200419,1.9960586231094426,HTTP.SOAP,HTTP
HTTP.AWS_Cloudfront,59.0,59.0,0.004337,0.008189,2.07066,1.446757,0.140111,0.388516,1.8881715471524096,1.431242427028174,2.7729157596477076,HTTP.AWS_Cloudfront,HTTP
HTTP.OCSP,8732.0,8732.0,0.003188,0.006233,2.260378,1.437197,0.110657,0.384824,1.9551442910915935,1.5727683817876048,3.4776290700091272,HTTP.OCSP,HTTP
ICMP,84.0,84.0,0.001068,0.001849,1.026781,0.715177,0.132475,0.332566,1.7312734082397003,1.4357019311303356,2.5104057369314963,ICMP,ICMP
Kerberos,905.0,905.0,0.002111,0.003851,2.179024,1.477919,0.233323,0.459944,1.8242539081004263,1.4743866206470044,1.9712758707885636,Kerberos,Kerberos
LDAP,929.0,929.0,0.002685,0.00489,1.930719,1.329625,0.11063,0.307693,1.8212290502793298,1.4520778414966626,2.7812799421495074,LDAP,LDAP
LLMNR,116.0,116.0,0.001877,0.003603,1.538644,0.987935,0.151919,0.394715,1.9195524773574852,1.5574344465982073,2.5981937743139434,LLMNR,LLMNR
NTP,148.0,148.0,0.00093,0.001658,1.125704,0.751428,0.116136,0.228639,1.782795698924731,1.498086310331795,1.9687177102707172,NTP,NTP
NetBIOS.SMBv23,179.0,179.0,0.00924,0.015174,1.394383,1.065291,0.041328,0.216022,1.6422077922077922,1.3089221630521612,5.227013162988773,NetBIOS.SMBv23,NetBIOS
NetBIOS,496.0,496.0,0.001337,0.002506,1.606538,1.073066,0.141906,0.357378,1.8743455497382198,1.4971474261601803,2.5184135977337108,NetBIOS,NetBIOS
QUIC.GoogleServices,103.0,103.0,0.001948,0.003505,1.348407,0.903928,0.071792,0.324531,1.7992813141683777,1.4917194732323813,4.520434031646981,QUIC.GoogleServices,QUIC
QUIC.Google,715.0,715.0,0.0017129902097902097,0.0032850419580419577,1.4994330867132866,0.9619565062937063,0.10045706713286713,0.3479047608391608,1.9177237203499706,1.558732725339535,3.4632183754579744,QUIC.Google,QUIC
SMTPS.GMail,343.0,343.0,0.006818,0.011859,2.356784,1.739585,0.067807,0.313345,1.7393663831035493,1.3547966900151474,4.6211305617414125,SMTPS.GMail,SMTPS
SSDP,111.0,111.0,0.004236,0.007097,0.99153,0.730543,0.080199,0.310221,1.6754013220018884,1.3572507025596028,3.868140500504994,SSDP,SSDP
SSH,1054.0,1054.0,0.003095,0.005546,2.070374,1.39819,0.086204,0.299156,1.7919224555735056,1.4807529734871514,3.470326202960419,SSH,SSH
TLS.Microsoft,354.0,354.0,0.009208,0.015343,2.86585,2.203353,0.15695,0.359633,1.666268462206777,1.3006767413119913,2.2913857916533926,TLS.Microsoft,TLS
TLS.WindowsUpdate,67.0,67.0,0.008985,0.015118,2.933877,2.225352,0.132475,0.301782,1.682582081246522,1.318387832576599,2.2780298169465936,TLS.WindowsUpdate,TLS
TLS.Salesforce,76.0,76.0,0.008421894736842104,0.014044342105263157,2.9097943026315787,2.2385769473684207,0.12865230263157895,0.28021569736842106,1.6675988651134888,1.2998410914810026,2.178085363702145,TLS.Salesforce,TLS
TLS.Mozilla,1867.0,1867.0,0.00785,0.013132,3.17178,2.361838,0.134846,0.423994,1.6728662420382165,1.3429286852019486,3.1442831081381724,TLS.Mozilla,TLS
TLS.LinkedIn,228.0,228.0,0.008139,0.012625,3.150004,2.33006,0.191566,0.472066,1.5511733628209854,1.3518982343802306,2.464247309021434,TLS.LinkedIn,TLS
TLS.Yandex,362.0,362.0,0.007452,0.012843,3.124359,2.332117,0.256955,0.492905,1.7234299516908211,1.3397093713565829,1.9182541690179213,TLS.Yandex,TLS
TLS.Microsoft365,244.0,244.0,0.007496,0.013027,3.079658,2.293718,0.19968,0.416001,1.7378601921024546,1.3426489219686115,2.083338341346154,TLS.Microsoft365,TLS
TLS.Yahoo,580.0,580.0,0.007497868965517241,0.012786141379310344,3.155356477586207,2.354558425862069,0.18518329655172416,0.44290896551724135,1.705303391952288,1.3401054069961944,2.391732806168784,TLS.Yahoo,TLS
TLS.Twitter,785.0,785.0,0.007432,0.012777,3.100569,2.307601,0.134152,0.379807,1.7191872981700753,1.3436330630815294,2.8311691215934167,TLS.Twitter,TLS
TLS,69395.0,69395.0,0.007347328510699618,0.012661308451617552,3.091367267526479,2.276076225419699,0.1596477413358311,0.42809225706463,1.723253347550664,1.3582002364426278,2.6814801981075673,TLS,TLS
TLS.AWS_Cloudfront,749.0,749.0,0.007264,0.012656,3.157635,2.33583,0.14257,0.39888,1.7422907488986785,1.3518256893695175,2.7977835449253,TLS.AWS_Cloudfront,TLS
TLS.Cloudflare,136.0,136.0,0.007274036764705883,0.012529448529411765,3.193555911764706,2.3525135955882353,0.15765988235294118,0.41542168382352945,1.7224890297785536,1.3575079513902542,2.634923213335632,TLS.Cloudflare,TLS
TLS.AWS_S3,353.0,353.0,0.007341,0.01255,3.117934,2.312841,0.156288,0.369718,1.7095763519956408,1.3480969941297305,2.365619881244881,TLS.AWS_S3,TLS
TLS.GoogleServices,1015.0,1015.0,0.007266,0.012441,3.105109,2.314875,0.12219,0.38167,1.712221304706854,1.3413722123224798,3.123578034209019,TLS.GoogleServices,TLS
TLS.YouTube,250.0,250.0,0.007234,0.012311,3.170054,2.357343,0.131298,0.435419,1.7018247166159801,1.344757211827044,3.316265289646453,TLS.YouTube,TLS
TLS.Canonical,942.0,942.0,0.007211,0.012157,2.601943,1.962092,0.074966,0.288382,1.6858965469421716,1.3261065230376556,3.8468372328789053,TLS.Canonical,TLS
TLS.eBay,305.0,305.0,0.007373,0.012153,3.292444,2.451401,0.263951,0.508401,1.6483114064831141,1.3430866675831494,1.9261188629707786,TLS.eBay,TLS
