protocol                 , flows_p   , flows_e   , avg_detecting_detection_only_ms_p, avg_detecting_detection_only_ms_e, avg_detecting_ipc_p, avg_detecting_ipc_e, avg_detecting_llc_miss_ratio_p, avg_detecting_llc_miss_ratio_e, ratio_detecting_time_e_over_p, ratio_ipc_p_over_e, ratio_llc_miss_ratio_e_over_p, protocol_label           , family
Apple                    ,      110.0,      110.0,                0.0072491181818181,                0.0134125454545454,  1.4595254727272726,  1.099401418181818 ,             0.2570688636363636,             0.2592612909090909,            1.8502313134011417, 1.3275637529566091,            1.0085285601753333, Apple                    , Apple
DCERPC                   ,      165.0,      165.0,                0.004709006060606 ,                0.0083426242424242,  2.023050521212121 ,  1.3921941333333332,             0.1650137818181818,             0.3911047939393939,            1.7716316638909977, 1.453138231784045 ,            2.3701341162541647, DCERPC                   , DCERPC
DHCPV6                   ,       67.0,       67.0,                0.0023127313432835,                0.0040839850746268,  0.9354407741935484,  0.5883272580645161,             0.0715675967741935,             0.3217273225806452,            1.7658709415113312, 1.5900007374653509,            4.495432808729671 , DHCPV6                   , DHCPV6
DNS                      ,   194932.0,   194932.0,                0.0015823864937516,                0.0029241842847762,  1.9280553259998137,  1.232629795008442 ,             0.2724665299244896,             0.4907105901670758,            1.8479583188576132, 1.564180367704489 ,            1.8009940167809586, DNS                      , DNS
FTP_CONTROL              ,      445.0,      445.0,                0.0158739235955056,                0.0258315820224719,  1.6244573348314606,  1.1817906179775282,             0.0744564651685393,             0.3054914853932584,            1.6272966079908322, 1.374572881287123 ,            4.102954454012145 , FTP_CONTROL              , FTP_CONTROL
GRE                      ,     4278.0,     4278.0,                0.0005384249649368,                0.0010223665264142,  1.3016568384759235,  0.8630643113604488,             0.3974615556334736,             0.4949698737727911,            1.8988096633561649, 1.5081805855511752,            1.245327671965428 , GRE                      , GRE
HTTP.Microsoft           ,      177.0,      177.0,                0.0064668644067796,                0.0116939152542372,  1.8762532033898305,  1.2468051977401131,             0.1483535932203389,             0.3577483050847457,            1.808282116133094 , 1.5048487179798564,            2.411456961163104 , HTTP.Microsoft           , HTTP
HTTP.Google              ,      775.0,      775.0,                0.0063347870967741,                0.0111999754838709,  2.2021766051612905,  1.4900712270967744,             0.1969376206451613,             0.450381230967742 ,            1.7680113495170704, 1.4779002272609265,            2.286923288157477 , HTTP.Google              , HTTP
HTTP.Yahoo               ,       88.0,       88.0,                0.0059384886363636,                0.0107640568181818,  2.089223852272727 ,  1.4172111704545456,             0.1593780568181818,             0.3717308977272727,            1.8125919703322204, 1.4741796394412028,            2.3323844269938783, HTTP.Yahoo               , HTTP
HTTP.WindowsUpdate       ,      150.0,      150.0,                0.00605588        ,                0.0102712799999999,  1.95467137007874  ,  1.297982716535433 ,             0.1809814803149606,             0.4015616062992125,            1.696083806152021 , 1.5059301985901137,            2.2187994351708147, HTTP.WindowsUpdate       , HTTP
HTTP.SOAP                ,       83.0,       83.0,                0.0052166626506024,                0.0100242650602409,  2.05943915        ,  1.2733096125      ,             0.2360687         ,             0.4775296375      ,            1.9215858359335038, 1.6173907192583925,            2.0228418146920792, HTTP.SOAP                , HTTP
HTTP.Microsoft365        ,       91.0,       91.0,                0.0049912527472527,                0.0094013956043956,  1.9067397692307688,  1.274979153846154 ,             0.1825418351648351,             0.3842161758241758,            1.8835743410450099, 1.4955066233662098,            2.1048116201813625, HTTP.Microsoft365        , HTTP
HTTP.GoogleServices      ,      210.0,      210.0,                0.0047673714285714,                0.0087798761904761,  2.0655208619047616,  1.3688444         ,             0.1482641047619047,             0.3891360476190476,            1.8416597745787757, 1.5089522679895258,            2.6246140172899963, HTTP.GoogleServices      , HTTP
HTTP                     ,   163270.0,   163270.0,                0.0038072829974888,                0.0080011270165982,  2.917899265632846 ,  1.6820880943605383,             0.2658498457048714,             0.5304728759967663,            2.101531990628374 , 1.7346887332569303,            1.9953853070340373, HTTP                     , HTTP
HTTP.AWS_Cloudfront      ,       59.0,       59.0,                0.0043370169491525,                0.0081889322033898,  2.205668830508474 ,  1.4526469152542372,             0.1795315423728813,             0.436393          ,            1.8881485360554116, 1.518379178964109 ,            2.4307316376396164, HTTP.AWS_Cloudfront      , HTTP
HTTP.OCSP                ,     8735.0,     8735.0,                0.0031900892959358,                0.0062350303377218,  2.312452548087932 ,  1.4583013527593311,             0.2203966141515914,             0.46364691046485  ,            1.9545002535400122, 1.5857165212885629,            2.103693435807268 , HTTP.OCSP                , HTTP
HTTP_Connect             ,      642.0,      642.0,                0.0040610576323987,                0.0072545140186915,  2.272874256716418 ,  1.460861147761194 ,             0.0699783835820895,             0.3217325432835821,            1.7863607649435294, 1.5558455094788814,            4.597598955771356 , HTTP_Connect             , HTTP_Connect
HTTP_Connect.Microsoft365,       70.0,       70.0,                0.0040732571428571,                0.0073059         ,  2.3863873285714283,  1.5457788857142856,             0.0540443142857142,             0.2645349714285714,            1.7936260205942784, 1.543808982400939 ,            4.894778940668274 , HTTP_Connect.Microsoft365, HTTP_Connect
HTTP_Connect.Github      ,       55.0,       55.0,                0.0036480545454545,                0.006244909090909 ,  2.187195054545455 ,  1.4784251272727271,             0.0899666363636363,             0.2342479272727272,            1.7118464137796945, 1.4794087398799871,            2.603719964875869 , HTTP_Connect.Github      , HTTP_Connect
HTTP_Proxy               ,      746.0,      746.0,                0.0041254839142091,                0.007942836461126 ,  2.5276013056300264,  1.5715496085790883,             0.1355181581769437,             0.3014009168900804,            1.925310248761139 , 1.6083496771796781,            2.2240629665033262, HTTP_Proxy               , HTTP_Proxy
ICMP                     , 15862130.0, 15862130.0,                0.0003331579100663,                0.0007097565911387,  1.3154568138596463,  0.8124047877144686,             0.5387722367519933,             0.5895928969603814,            2.1303909338291116, 1.6192135173900313,            1.094326798490513 , ICMP                     , ICMP
ICMPV6                   ,      770.0,      770.0,                0.0009474753246753,                0.0016484402597402,  1.171679609179416 ,  0.7629064506258691,             0.1273514367176634,             0.3408878678720445,            1.7398239477161273, 1.5358103319459413,            2.67674929045197  , ICMPV6                   , ICMPV6
IGMP                     ,      299.0,      299.0,                0.0004888127090301,                0.0009988260869565,  1.3144806344086022,  0.7793648924731184,             0.1197806810035842,             0.2979145125448029,            2.0433717628544605, 1.6866048844430608,            2.4871666286142453, IGMP                     , IGMP
