protocol                 , protocol_detected, master_proto, app_proto, category_name    , category_id, flows   , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes  , var_detecting_bytes           , avg_packets_in_flow     , var_packets_in_flow            , avg_bytes_in_flow       , var_bytes_in_flow     , avg_detecting_instructions, var_detecting_instructions, avg_detecting_cycles, var_detecting_cycles   , avg_detecting_ipc , var_detecting_ipc     , avg_detecting_llc_misses, var_detecting_llc_misses, avg_detecting_llc_refs, var_detecting_llc_refs  , avg_detecting_llc_miss_ratio, var_detecting_llc_miss_ratio, avg_detecting_branch_misses, var_detecting_branch_misses, avg_detecting_branch_miss_per_kinst, var_detecting_branch_miss_per_kinst
ICMP                     ,                 1,            0,        81, Network          ,          14, 15862122,     1.00000025217307  , 3.782595412711943e-07 ,    60.20895419919226 ,           14.635963163806695  ,       1.348086529658516 ,          4577.694207065606     ,        82.74946687460859, 19069326.907635286    ,          5179.190633510447,      2424816.469770343    ,   6548.71916714548  ,     22811863.28420029  , 0.8124047877144686, 0.01720443553831819   ,       14.960618320802222,     4396.627772511824   ,     24.940715372129908,   17008.654337037733    ,          0.5895928969603814 , 0.05013407956736267         ,           6.156998603339452,        1416.1825530349056  ,                1.1199676985932274  , 0.22550779632044743
NOT_DETECTED             ,                 0,            0,         0, NOT_DETECTED     ,           0,  3489960,     0.0               , 0.0                   ,  3462.135941672684   , 456185480828.2961             ,       5.5633947093949505,        368836.50233992306      ,      3462.135941672684  , 456185480828.2961     ,         19192.117636305287, 438792205088.6965         ,  16410.924313172643 , 358644509948.222       , 1.1741830787172345, 0.09592264978330735   ,       26.25546052103749 ,   463446.3561456117     ,     61.96078637004435 , 2656806.1067351657      ,          0.5325581036278352 , 0.05216492236888695         ,          30.244756386892686,     1638092.2555466376     ,                1.786966790924538   , 1.0817743099766368
DNS                      ,                 1,            0,         5, Network          ,          14,   193086,     1.0048527599100918, 0.10880360546059396   ,   292.2773375594295  ,       346853.849054689        ,      14.04245776493376  ,           384.7059855776342    ,      9627.480273038957  , 400974139.3692467     ,         19929.31674487016 ,     37146554.20618377     ,  16415.43697626964  ,    118258898.93769905  , 1.232629795008442 , 0.051330591733226794  ,       17.78067803983717 ,    11389.359426129451   ,     41.009679624623224,   93165.89990423326     ,          0.49071059016707586, 0.08771053586241581         ,          65.70950768051542 ,        9320.030474947951   ,                1.2534371584009198  , 0.8247578661736138
HTTP                     ,                 1,            0,         7, Web              ,           5,   163278,     5.721597520792758 , 58.865674852109144    ,  2796.199181763618   ,     80621778.60972211         ,     220.42387829346268  ,      11472543.195638012        ,    206641.52809319075   , 13170819018266.545    ,         72702.86383346195 ,    696664093.2306472      ,  43988.72532123127  ,   1979482668.7970693   , 1.6820880943605383, 0.04527363742370496   ,       32.4886390083171  ,   569291.0011662648     ,     71.542565440537   , 1376272.250980966       ,          0.5304728759967663 , 0.061942674674253635        ,          94.90211786033636 ,      126210.16120755796    ,                0.6378474108820539  , 0.5042902080689825
TLS                      ,                 1,            0,        91, Web              ,           5,    88875,    10.53314205344585  , 618.7153094805238     ,  5678.705867791842   ,    818043134.5769237          ,     203.50722925457103  ,       8256628.800406247        ,    234504.95561181434   , 15700543527123.482    ,        131973.87030098453 ,   1158266169.3040335      ,  67709.51032348805  ,    779165534.289702    , 2.051337353338959 , 0.22142076518760023   ,       52.9218452883263  ,    10626.901728690551   ,    147.1175246132208  ,   63503.312083886536    ,          0.4439675865879044 , 0.05898364618109597         ,         145.95053727144867 ,        4969.009446546783   ,                0.6893549940590717  , 0.22741768744038413
SSH                      ,                 1,            0,        92, RemoteAccess     ,          12,    50974,     6.6782477341389725, 66.2665268781656      ,  1559.2517361792286  ,      2246299.0886671892       ,     108.07694118570251  ,     180110237.00844032         ,     46091.40181268882   , 3746114303060.267     ,         41464.87662337662 ,    805891376.2951913      ,  31388.166477027506 ,   2269910070.3173633   , 1.405147540981677 , 0.015542709673597674  ,       45.938027229568014,   424282.9711858597     ,    122.49013222427119 , 1404374.2895306721      ,          0.5451305708792717 , 0.0642521560845194          ,          56.47492839486797 ,      113769.18455405669    ,                0.5445486166477027  , 0.1715630003815452
MySQL                    ,                 1,            0,        20, Database         ,          11,    45677,    13.96205967992644  , 0.27968670064392415   , 10744.503097839175   ,      2700302.714425458        ,      45.154629244477526 ,             4.551149454785891  ,     38827.63922762003   , 10158605.602246905    ,        202524.4164459137  ,    344490996.79156613     , 106307.94036385928  ,     70639949.56314011  , 1.902477121921317 , 0.00392520160953272   ,       35.25104538389124 ,      619.951534964707   ,     65.74785997329072 ,    1644.97324919133     ,          0.5264873306478096 , 0.040541033382433506        ,         216.5393743021652  ,         285.9005721767532  ,                0.9266117445979377  , 0.008545430769009446
SamsungSDP               ,                 1,            0,       456, Network          ,          14,    12763,     1.0               , 0.0                   ,    79.03995925722792 ,            0.11828102944556597,       1.0239755543367546,             0.02402753900908509,        80.93426310428583, 149.95971532903673    ,          7279.487973047089,        22323.532312454965 ,   7309.885920238188 ,      1555814.724429983 , 1.0098693610436418, 0.011976555062199194  ,        8.02593434145577 ,       34.62355368902124 ,     16.0021938415733  ,     264.66331885704267  ,          0.5887218156389563 , 0.08292212523655028         ,          16.89665439160072 ,          30.418607470228107,                2.311515441432265   , 0.5541456173763152
TLS.Google               ,                 1,           91,       126, Advertisement    ,         101,    12454,     4.0               , 0.0                   ,   491.10342058776297 ,        13782.132230149587     ,      60.90356511964028  ,         37386.28867686757      ,     36033.75718644612   , 42237827320.39535     ,        122008.04753492854 ,    554176975.0550714      ,  53634.78641400353  ,     59480097.70450147  , 2.2625647501204433, 0.03939767806426501   ,       21.311867673036776,      412.6414570385358  ,     47.79741448530593 ,    3909.8748897339347   ,          0.5046504561586639 , 0.06617343174101346         ,         118.24313473582785 ,        2118.69855371928    ,                0.5328393102617633  , 0.07171637656827935
HTTP.OCSP                ,                 1,            7,        63, Network          ,          14,     8734,     4.0247309365697275, 0.05205611606376676   ,   694.9433249370277  ,          823.5412120270013    ,      23.89832837188001  ,           191.14079638129485   ,      4578.997023128006  , 11115375.282335998    ,         49663.10728188688 ,       833492.8741100151   ,  34561.9380581635   ,     23419113.710726984 , 1.4583013527593311, 0.027001820071530132  ,       29.694183650103046,     3729.74721370843    ,     77.18651247996335 ,   22040.714354381747    ,          0.46364691046485007, 0.058274327680314396        ,         142.08690176322418 ,        2171.631903086983   ,                1.4918124397755896  , 0.3022394618457834
