protocol,protocol_detected,master_proto,app_proto,category_name,category_id,flows,avg_detect_pkt_in_flow,var_detect_pkt_in_flow,avg_detecting_bytes,var_detecting_bytes,avg_packets_in_flow,var_packets_in_flow,avg_bytes_in_flow,var_bytes_in_flow,avg_detecting_total_ms,var_detecting_total_ms,avg_detecting_detection_only_ms,var_detecting_detection_only_ms,avg_detecting_flow_table_ms,var_detecting_flow_table_ms,avg_detecting_other_ms,var_detecting_other_ms,avg_detecting_detection_ratio,var_detecting_detection_ratio,avg_detecting_flow_table_ratio,var_detecting_flow_table_ratio,avg_detecting_other_ratio,var_detecting_other_ratio
ICMP,1,0,81,Network,14,15862130,1.0000002521729427,3.782593504975832e-07,60.20899563929939,14.640454038154292,1.3517421052532037,4648.343990780842,83.08610363173167,19678102.455564406,0.0019291271913671113,2.109254308545284e-05,0.0007097565911387689,1.0696132893473479e-07,0.0005696207272919841,2.0178518477358258e-05,0.0006497498729363584,8.714778161036928e-07,0.4214706855623425,0.019244985589619762,0.27898556880538744,0.0433842887367651,0.29954374349989565,0.04677961459625841
NOT_DETECTED,0,0,0,NOT_DETECTED,0,3489681,0.0,0.0,3472.1289192335917,456433380864.01117,5.582892820289304,369434.0548181582,3472.1289192335917,456433380864.01117,0.004120002865591439,0.016610453779906276,0.001979706531915095,0.0009371470233989171,0.0007710230035352802,0.001225995355167452,0.0013692733301410645,0.006738796669406748,0.5243605755302563,0.06675643287846802,0.2210816874849019,0.04388243159678828,0.25455773553800476,0.048546449745356116
DNS,1,0,5,Network,14,194932,1.0048529743705497,0.10791152343507203,290.4537223236821,343920.128616795,13.9353107750395,382.2764977985824,9541.678287813185,397947892.26425,0.00429146624976915,0.00011920535612548458,0.0029241842847762293,8.803395027750087e-07,0.0006419061313688877,0.00011428870674588268,0.0007253758336240329,3.7462077913820053e-06,0.716576654269181,0.022821211030996224,0.13055543812201179,0.019146467154657308,0.15286790802946668,0.021349074147025214
HTTP,1,0,7,Web,5,163270,5.72170025111778,58.868258810622216,2796.3197158081707,80625431.94217454,220.43458075580327,11473103.000874361,206651.72822318858,13171462247139.555,0.01038380723341704,0.0016254636841765177,0.008001127016598273,7.177634674207936e-06,0.0009253172965027254,0.0016064362051937124,0.0014573629203160408,4.118280070849021e-06,0.7926092361609604,0.009452739278264321,0.07594077597844062,0.005522995644825762,0.13144998639676608,0.00809032973207872
TLS,1,0,91,Web,5,88838,10.531630608523379,618.9529099933592,5679.064150476148,818381635.8589728,203.58571782345393,8260053.187383314,234600.1607195119,15707060851702.531,0.015759571151984512,3.7855975018795434e-05,0.012562642652918796,1.14427022393532e-05,0.0009683852405502148,2.4314697503042323e-06,0.0022285432585155,1.4439072126806745e-05,0.8174474659605124,0.0175690511286656,0.056639133962943775,0.002828171085702748,0.12591340117967537,0.011786218398475943
SSH,1,0,92,RemoteAccess,12,50951,6.678926812035092,66.28864131652138,1559.6336283880592,2246224.15995645,107.89236717630665,180189045.33865362,46050.97721340111,3747638687518.5293,0.007546086808894821,0.0016502049215062126,0.004662919432395831,7.467025537796512e-06,0.0012057494259190202,0.0016230165804134932,0.001677417950579969,4.744513791696776e-06,0.6735292372279249,0.01203902275274777,0.12159206922337149,0.01182932199492777,0.20487869708150971,0.01279575828810321
MySQL,1,0,20,Database,11,45676,13.961774235922585,0.2759711405534817,10744.571459847622,2700148.3678026763,45.15430422979245,4.546424025493099,38828.124507399945,10148071.235986654,0.023646305784219283,1.1872975447239511e-05,0.02010947764690428,8.241804891237795e-06,0.0009891476924424206,2.2587757442347573e-06,0.0025476804448725807,2.979517831372567e-06,0.8501883685743058,0.0019684114927565033,0.04137793232769945,0.0012555377930073962,0.10843369859444786,0.0015499789341366923
SamsungSDP,1,0,456,Network,14,12777,1.0,0.0,79.04320262972529,0.12774142196068256,1.0239492838694528,0.024001840740075706,80.93543085231275,149.79664478775595,0.0019621026062455974,4.737348066563608e-06,0.001008180089222822,2.0243477233677565e-08,0.0004319870861704625,5.1816765914293e-07,0.0005219354308523128,4.222328609198595e-06,0.5942689710417155,0.02700414245348699,0.18568784706895203,0.023946396211618627,0.22004319096814587,0.02751328032498741
TLS.Google,1,91,126,Advertisement,101,12454,4.0,0.0,491.10342058776297,13782.132230149587,60.90356511964028,37386.28867686757,36033.75718644612,42237827320.39535,0.01323054496547294,8.000436948154757e-06,0.011432527701943153,5.279365532515082e-06,0.0006568593223060864,1.4816701187997977e-06,0.0011411579412237032,1.5175722985650887e-06,0.8660636609924522,0.003908906230358014,0.04829149502167978,0.0026516634957866702,0.08564484013168461,0.0032496334497646305
HTTP.OCSP,1,7,63,Network,14,8735,4.024728105323412,0.052050226588453714,694.9469948483114,823.5645630927039,23.899255867200917,191.12642760883077,4578.86422438466,11114256.800797954,0.008046286433886662,5.2255882616305e-06,0.00623503033772181,1.4673948951299947e-06,0.000653429421866056,6.32525989723936e-07,0.001157826674298798,3.257317590335992e-06,0.7845088077847739,0.007579776193574616,0.07767663342873497,0.006092762714718059,0.13781456428162564,0.0068357807385210825
