protocol,protocol_detected,master_proto,app_proto,category_name,category_id,flows,avg_detect_pkt_in_flow,var_detect_pkt_in_flow,avg_detecting_bytes,var_detecting_bytes,avg_packets_in_flow,var_packets_in_flow,avg_bytes_in_flow,var_bytes_in_flow,avg_detecting_total_ms,var_detecting_total_ms,avg_detecting_detection_only_ms,var_detecting_detection_only_ms,avg_detecting_flow_table_ms,var_detecting_flow_table_ms,avg_detecting_other_ms,var_detecting_other_ms,avg_detecting_detection_ratio,var_detecting_detection_ratio,avg_detecting_flow_table_ratio,var_detecting_flow_table_ratio,avg_detecting_other_ratio,var_detecting_other_ratio
ICMP,1,0,81,Network,14,15862130,1.0000002521729427,3.782593504975832e-07,60.20899563929939,14.640454038154292,1.3517421052532037,4648.343990780842,83.08610363173167,19678102.455564406,0.0010605667407844975,1.0483897223616957e-05,0.0003331579100663026,1.1281669261659346e-07,0.0003745190375441381,1.0013747702539417e-05,0.00035288979317405666,4.3521304631035015e-07,0.3658385689078327,0.024403299629223836,0.33887643723062416,0.046431702413795795,0.2952849939144364,0.05401527944093775
NOT_DETECTED,0,0,0,NOT_DETECTED,0,3489681,0.0,0.0,3472.1289192335917,456433380864.01117,5.582892820289304,369434.0548181582,3472.1289192335917,456433380864.01117,0.002447258051953746,0.006882202276963141,0.0010788549322989695,0.0004671228697213914,0.000542677773699086,0.0006158671007371,0.0008257253459556906,0.0024232601751762476,0.48896816925100034,0.059383549787143025,0.26452286285967114,0.043299830667453396,0.246508968298535,0.04315531776281642
DNS,1,0,5,Network,14,194932,1.0048529743705497,0.10791152343507203,290.4537223236821,343920.128616795,13.9353107750395,382.2764977985824,9541.678287813185,397947892.26425,0.002330794630948228,5.847644030816624e-05,0.0015823864937516672,5.753798088644283e-07,0.0003629436367553814,5.3984875467987496e-05,0.00038546450044117946,3.739613204498712e-06,0.7075968093027313,0.024143055739403906,0.13859583746126855,0.019201130900402395,0.1538073545492787,0.02125035409825605
HTTP,1,0,7,Web,5,163270,5.72170025111778,58.868258810622216,2796.3197158081707,80625431.94217454,220.43458075580327,11473103.000874361,206651.72822318858,13171462247139.555,0.005192809199485515,0.0007400934466126061,0.003807282997488823,3.60199185301097e-06,0.0005592509279108226,0.0007295280318804112,0.0008262752740858701,4.759543239848604e-06,0.7654954400869726,0.011167065999966837,0.08861940816439028,0.005772081495022849,0.14588515021743123,0.008823594044882414
TLS,1,0,91,Web,5,88838,10.531630608523379,618.9529099933592,5679.064150476148,818381635.8589728,203.58571782345393,8260053.187383314,234600.1607195119,15707060851702.531,0.009447610583308945,2.4098681004762936e-05,0.007300764695288051,8.852207138174998e-06,0.000699761813638308,2.1627457591118284e-06,0.0014470840743825843,8.04418205478566e-06,0.8025873074472636,0.026138718629725312,0.06579686746662465,0.003659057693799653,0.13161582375785139,0.014867594183918836
SSH,1,0,92,RemoteAccess,12,50951,6.678926812035092,66.28864131652138,1559.6336283880592,2246224.15995645,107.89236717630665,180189045.33865362,46050.97721340111,3747638687518.5293,0.003965264175384193,0.0007890014637373594,0.002157089340739142,2.1297271680893594e-06,0.0007830871229220231,0.0007739780903576035,0.001025087711723028,5.297144582383395e-06,0.6265329148790013,0.013246450779139758,0.14308553439579202,0.011853416545013828,0.2303815546309199,0.013714164812986433
MySQL,1,0,20,Database,11,45676,13.961774235922585,0.2759711405534817,10744.571459847622,2700148.3678026763,45.15430422979245,4.546424025493099,38828.124507399945,10148071.235986654,0.013558124157106577,1.0212370957152664e-05,0.011475510662054468,4.707036867672466e-06,0.0005914146159908924,3.2822289350644187e-06,0.0014911988790612136,2.2649685093130447e-06,0.8470290106839478,0.0016582761104867497,0.04254065758823014,0.0009406326423475936,0.11043033142131535,0.001257943795945944
SamsungSDP,1,0,456,Network,14,12777,1.0,0.0,79.04320262972529,0.12774142196068256,1.0239492838694528,0.024001840740075706,80.93543085231275,149.79664478775595,0.0009538329028723488,5.065202339692232e-06,0.00041534037724035375,1.1123448125489683e-08,0.0002461614620020349,9.521232032483281e-07,0.0002923310636299601,4.12831805068489e-06,0.5198834470532989,0.024874303089434013,0.22320109297957266,0.02689005976345695,0.25691545957580025,0.029182624775103184
TLS.Google,1,91,126,Advertisement,101,12454,4.0,0.0,491.10342058776297,13782.132230149587,60.90356511964028,37386.28867686757,36033.75718644612,42237827320.39535,0.007622358198169263,5.036871826648301e-06,0.006605054520635941,3.733748928374858e-06,0.0003811408382848883,2.3664859972455827e-07,0.0006361628392484342,1.0862671639442754e-06,0.8667656279107114,0.003399882104931888,0.04991285643166855,0.0021604492854874983,0.08332151573791553,0.002764097217329245
HTTP.OCSP,1,7,63,Network,14,8735,4.024728105323412,0.052050226588453714,694.9469948483114,823.5645630927039,23.899255867200917,191.12642760883077,4578.86422438466,11114256.800797954,0.004196156153405839,9.678540536928168e-07,0.00319008929593589,6.368875757697963e-07,0.00038050062965083,1.4412273860864762e-07,0.0006255662278191185,2.3679559100597671e-07,0.7638521764167142,0.00734457280933957,0.08890090726960503,0.005757704657734962,0.14724692524327418,0.006501852305782276
